rl	V(vo)	I(RL)
1.584893192461160e-01	7.030570e-02	4.435990e-01
1.603245390690088e-01	7.114998e-02	4.437872e-01
1.621810097358978e-01	7.200477e-02	4.439778e-01
1.640589773199587e-01	7.287021e-02	4.441708e-01
1.659586907437610e-01	7.374644e-02	4.443662e-01
1.678804018122610e-01	7.463359e-02	4.445640e-01
1.698243652461795e-01	7.553182e-02	4.447643e-01
1.717908387157639e-01	7.644122e-02	4.449668e-01
1.737800828749427e-01	7.736214e-02	4.451726e-01
1.757923613958745e-01	7.829449e-02	4.453805e-01
1.778279410038976e-01	7.923853e-02	4.455910e-01
1.798870915128842e-01	8.019440e-02	4.458041e-01
1.819700858610038e-01	8.116228e-02	4.460199e-01
1.840772001469011e-01	8.214230e-02	4.462383e-01
1.862087136662924e-01	8.313472e-02	4.464599e-01
1.883649089489857e-01	8.413958e-02	4.466839e-01
1.905460717963305e-01	8.515710e-02	4.469108e-01
1.927524913190994e-01	8.618747e-02	4.471406e-01
1.949844599758105e-01	8.723083e-02	4.473733e-01
1.972422736114914e-01	8.828739e-02	4.476089e-01
1.995262314968941e-01	8.935732e-02	4.478475e-01
2.018366363681623e-01	9.044079e-02	4.480891e-01
2.041737944669592e-01	9.153800e-02	4.483337e-01
2.065380155810593e-01	9.264913e-02	4.485815e-01
2.089296130854104e-01	9.377439e-02	4.488324e-01
2.113489039836712e-01	9.491394e-02	4.490865e-01
2.137962089502299e-01	9.606802e-02	4.493439e-01
2.162718523727088e-01	9.723680e-02	4.496045e-01
2.187761623949621e-01	9.842049e-02	4.498685e-01
2.213094709605707e-01	9.961931e-02	4.501358e-01
2.238721138568410e-01	1.008335e-01	4.504065e-01
2.264644307593131e-01	1.020632e-01	4.506807e-01
2.290867652767845e-01	1.033086e-01	4.509585e-01
2.317394649968552e-01	1.045701e-01	4.512398e-01
2.344228815319996e-01	1.058477e-01	4.515247e-01
2.371373705661730e-01	1.071418e-01	4.518133e-01
2.398832919019566e-01	1.084526e-01	4.521055e-01
2.426610095082492e-01	1.097802e-01	4.524016e-01
2.454708915685108e-01	1.111250e-01	4.527014e-01
2.483133105295650e-01	1.124872e-01	4.530052e-01
2.511886431509660e-01	1.138671e-01	4.533129e-01
2.540972705549386e-01	1.152648e-01	4.536246e-01
2.570395782768947e-01	1.166806e-01	4.539403e-01
2.600159563165356e-01	1.181149e-01	4.542601e-01
2.630267991895467e-01	1.195678e-01	4.545841e-01
2.660725059798895e-01	1.210397e-01	4.549123e-01
2.691534803927003e-01	1.225307e-01	4.552448e-01
2.722701308078000e-01	1.240413e-01	4.555817e-01
2.754228703338256e-01	1.255716e-01	4.559229e-01
2.786121168629861e-01	1.271220e-01	4.562686e-01
2.818382931264546e-01	1.286927e-01	4.566189e-01
2.851018267504002e-01	1.302840e-01	4.569737e-01
2.884031503126700e-01	1.318964e-01	4.573333e-01
2.917427014001263e-01	1.335299e-01	4.576975e-01
2.951209226666482e-01	1.351850e-01	4.580666e-01
2.985382618918058e-01	1.368621e-01	4.584406e-01
3.019951720402116e-01	1.385613e-01	4.588195e-01
3.054921113215615e-01	1.402830e-01	4.592034e-01
3.090295432513693e-01	1.420276e-01	4.595924e-01
3.126079367124059e-01	1.437955e-01	4.599867e-01
3.162277660168485e-01	1.455869e-01	4.603861e-01
3.198895109691505e-01	1.474022e-01	4.607909e-01
3.235936569296390e-01	1.492418e-01	4.612011e-01
3.273406948788491e-01	1.511060e-01	4.616168e-01
3.311311214826022e-01	1.529952e-01	4.620381e-01
3.349654391578389e-01	1.549098e-01	4.624650e-01
3.388441561392140e-01	1.568502e-01	4.628977e-01
3.427677865464619e-01	1.588167e-01	4.633362e-01
3.467368504525433e-01	1.608098e-01	4.637807e-01
3.507518739525798e-01	1.628299e-01	4.642311e-01
3.548133892335875e-01	1.648774e-01	4.646877e-01
3.589219346450174e-01	1.669527e-01	4.651504e-01
3.630780547701137e-01	1.690562e-01	4.656195e-01
3.672823004980972e-01	1.711884e-01	4.660950e-01
3.715352290971853e-01	1.733498e-01	4.665769e-01
